x,y,layer1,layer2,voltage1,voltage2,current
504.415,830.231,LAYER_1,LAYER_2,0.179844,0.179853,-0.0124502
504.415,830.231,LAYER_2,BOTTOM_LAYER,0.179853,0.179854,-0.00748958
543.785,830.231,TOP_LAYER,LAYER_1,0.17983,0.179832,-0.0189367
543.785,830.231,LAYER_1,LAYER_2,0.179832,0.179846,-0.0189367
543.785,830.231,LAYER_2,BOTTOM_LAYER,0.179846,0.179847,-0.0111224
559.533,70.3886,TOP_LAYER,LAYER_1,0.179779,0.179777,0.0165271
559.533,70.3886,LAYER_1,LAYER_2,0.179777,0.179765,0.0165271
559.533,70.3886,LAYER_2,BOTTOM_LAYER,0.179765,0.179764,0.0100413
559.533,129.444,TOP_LAYER,LAYER_1,0.179778,0.179776,0.0165981
559.533,129.444,LAYER_1,LAYER_2,0.179776,0.179764,0.0165981
559.533,129.444,LAYER_2,BOTTOM_LAYER,0.179764,0.179762,0.0100865
559.533,188.499,TOP_LAYER,LAYER_1,0.179775,0.179772,0.0222242
559.533,188.499,LAYER_1,LAYER_2,0.179772,0.179756,0.0222242
559.533,188.499,LAYER_2,BOTTOM_LAYER,0.179756,0.179755,0.0116197
572.06,1396.44,TOP_LAYER,LAYER_1,0.180089,0.180089,0.00191046
572.06,1396.44,LAYER_1,LAYER_2,0.180089,0.180088,0.00191046
572.06,1396.44,LAYER_2,BOTTOM_LAYER,0.180088,0.180088,0.00370944
572.06,1514.55,TOP_LAYER,LAYER_1,0.180104,0.180104,-0.00959304
572.06,1514.55,LAYER_1,LAYER_2,0.180104,0.180107,-0.00959304
572.06,1514.55,LAYER_2,BOTTOM_LAYER,0.180107,0.180107,-0.0052234
583.155,830.231,TOP_LAYER,LAYER_1,0.179814,0.179818,-0.0287106
583.155,830.231,LAYER_1,LAYER_2,0.179818,0.179839,-0.0287106
583.155,830.231,LAYER_2,BOTTOM_LAYER,0.179839,0.179841,-0.0168669
622.525,830.231,TOP_LAYER,LAYER_1,0.179791,0.179797,-0.0480667
622.525,830.231,LAYER_1,LAYER_2,0.179797,0.179832,-0.0480667
622.525,830.231,LAYER_2,BOTTOM_LAYER,0.179832,0.179835,-0.0263794
638.273,424.719,TOP_LAYER,LAYER_1,0.179522,0.179541,-0.145367
638.273,424.719,LAYER_1,LAYER_2,0.179541,0.179645,-0.145367
638.273,424.719,LAYER_2,BOTTOM_LAYER,0.179645,0.179657,-0.0928402
638.273,464.089,TOP_LAYER,LAYER_1,0.179526,0.179543,-0.132538
638.273,464.089,LAYER_1,LAYER_2,0.179543,0.179638,-0.132538
638.273,464.089,LAYER_2,BOTTOM_LAYER,0.179638,0.17965,-0.0882101
657.958,1408.97,TOP_LAYER,LAYER_1,0.180109,0.180108,0.00639985
657.958,1408.97,LAYER_1,LAYER_2,0.180108,0.180103,0.00639985
657.958,1408.97,LAYER_2,BOTTOM_LAYER,0.180103,0.180102,0.00672204
663.625,773.383,TOP_LAYER,LAYER_1,0.179769,0.179773,-0.015047
663.625,773.383,LAYER_1,LAYER_2,0.179773,0.179795,-0.015047
