x;y;layer1;layer2;voltage1;voltage2;current
465.045;869.601;LAYER_1;LAYER_2;0.000129748;0.000137604;-0.0109067
465.045;869.601;LAYER_2;BOTTOM_LAYER;0.000137604;0.000138474;-0.00664725
504.415;830.231;TOP_LAYER;LAYER_1;0.0001181;0.000119717;-0.0123597
504.415;830.231;LAYER_1;LAYER_2;0.000119717;0.00012862;-0.0123597
504.415;830.231;LAYER_2;BOTTOM_LAYER;0.00012862;0.000129708;-0.0083144
543.785;830.231;TOP_LAYER;LAYER_1;0.000106181;0.000108725;-0.0194359
543.785;830.231;LAYER_1;LAYER_2;0.000108725;0.000122724;-0.0194359
543.785;830.231;LAYER_2;BOTTOM_LAYER;0.000122724;0.000124421;-0.0129625
559.533;70.3886;TOP_LAYER;LAYER_1;0.000143335;0.000143015;0.00244246
559.533;70.3886;LAYER_1;LAYER_2;0.000143015;0.000141256;0.00244246
559.533;70.3886;LAYER_2;BOTTOM_LAYER;0.000141256;0.000141046;0.00160664
559.533;129.444;TOP_LAYER;LAYER_1;0.000143204;0.000142879;0.00248051
559.533;129.444;LAYER_1;LAYER_2;0.000142879;0.000141093;0.00248051
559.533;129.444;LAYER_2;BOTTOM_LAYER;0.000141093;0.000140879;0.00163633
559.533;188.499;TOP_LAYER;LAYER_1;0.000143336;0.000142878;0.00349624
559.533;188.499;LAYER_1;LAYER_2;0.000142878;0.00014036;0.00349624
559.533;188.499;LAYER_2;BOTTOM_LAYER;0.00014036;0.000140083;0.00211901
572.06;1396.44;TOP_LAYER;LAYER_1;0.000199603;0.000199418;0.00358347
572.06;1396.44;LAYER_1;LAYER_2;0.000199418;0.000198404;0.00358347
572.06;1396.44;LAYER_2;BOTTOM_LAYER;0.000198404;0.000198267;0.00267745
572.06;1514.55;TOP_LAYER;LAYER_1;0.000207274;0.000207162;0.00218843
572.06;1514.55;LAYER_1;LAYER_2;0.000207162;0.000206543;0.00218843
572.06;1514.55;LAYER_2;BOTTOM_LAYER;0.000206543;0.000206464;0.00152014
583.155;830.231;TOP_LAYER;LAYER_1;9.0693e-05;9.46144e-05;-0.0299693
583.155;830.231;LAYER_1;LAYER_2;9.46144e-05;0.000116202;-0.0299693
583.155;830.231;LAYER_2;BOTTOM_LAYER;0.000116202;0.00011881;-0.0199307
622.525;830.231;TOP_LAYER;LAYER_1;6.66868e-05;7.33505e-05;-0.0509275
622.525;830.231;LAYER_1;LAYER_2;7.33505e-05;0.000110034;-0.0509275
622.525;830.231;LAYER_2;BOTTOM_LAYER;0.000110034;0.000114224;-0.0320172
638.273;424.719;TOP_LAYER;LAYER_1;0.000131504;0.000131748;-0.00186311
638.273;424.719;LAYER_1;LAYER_2;0.000131748;0.00013309;-0.00186311
638.273;424.719;LAYER_2;BOTTOM_LAYER;0.00013309;0.000133251;-0.00123095
638.273;464.089;TOP_LAYER;LAYER_1;0.000131182;0.000131308;-0.000963993
638.273;464.089;LAYER_1;LAYER_2;0.000131308;0.000132002;-0.000963993
638.273;464.089;LAYER_2;BOTTOM_LAYER;0.000132002;0.000132128;-0.000957224
657.958;1408.97;TOP_LAYER;LAYER_1;0.000196498;0.000196297;0.00153335
657.958;1408.97;LAYER_1;LAYER_2;0.000196297;0.000195193;0.00153335
657.958;1408.97;LAYER_2;BOTTOM_LAYER;0.000195193;0.000195021;0.00131416
663.625;773.383;TOP_LAYER;LAYER_1;5.50775e-05;6.29346e-05;-0.0291069
663.625;773.383;LAYER_1;LAYER_2;6.29346e-05;0.000106188;-0.0291069
663.625;773.383;LAYER_2;BOTTOM_LAYER;0.000106188;0.00011124;-0.0187165
663.625;812.753;TOP_LAYER;LAYER_1;4.1061e-05;5.06468e-05;-0.0355114
663.625;812.753;LAYER_1;LAYER_2;5.06468e-05;0.000103417;-0.0355114
663.625;812.753;LAYER_2;BOTTOM_LAYER;0.000103417;0.000109398;-0.0221573
697.328;464.089;TOP_LAYER;LAYER_1;0.00013078;0.000130923;-0.00109006
697.328;464.089;LAYER_1;LAYER_2;0.000130923;0.000131708;-0.00109006
697.328;464.089;LAYER_2;BOTTOM_LAYER;0.000131708;0.000131804;-0.000731747
697.328;523.144;TOP_LAYER;LAYER_1;0.000130192;0.000130254;-0.000472465
697.328;523.144;LAYER_1;LAYER_2;0.000130254;0.000130594;-0.000472465
697.328;523.144;LAYER_2;BOTTOM_LAYER;0.000130594;0.000130675;-0.000621612
693.152;793.068;TOP_LAYER;LAYER_1;1.2433e-05;2.59437e-05;-0.0500509
693.152;793.068;LAYER_1;LAYER_2;2.59437e-05;0.00010032;-0.0500509
693.152;793.068;LAYER_2;BOTTOM_LAYER;0.00010032;0.00010787;-0.0279711
704.387;604.668;TOP_LAYER;LAYER_1;48;48;5e-05
704.387;604.668;LAYER_1;LAYER_2;48;48;4.99999e-05
704.387;604.668;LAYER_2;BOTTOM_LAYER;48;48;-1.06948e-10
717.013;1408.97;TOP_LAYER;LAYER_1;0.000192018;0.000192075;-0.00043149
717.013;1408.97;LAYER_1;LAYER_2;0.000192075;0.000192386;-0.00043149
717.013;1408.97;LAYER_2;BOTTOM_LAYER;0.000192386;0.00019236;0.0001932
722.68;773.383;TOP_LAYER;LAYER_1;7.13043e-05;7.69073e-05;-0.0207566
722.68;773.383;LAYER_1;LAYER_2;7.69073e-05;0.000107752;-0.0207566
722.68;773.383;LAYER_2;BOTTOM_LAYER;0.000107752;0.000111579;-0.0141786
722.68;812.753;TOP_LAYER;LAYER_1;6.7861e-05;7.37475e-05;-0.0218067
722.68;812.753;LAYER_1;LAYER_2;7.37475e-05;0.000106152;-0.0218067
722.68;812.753;LAYER_2;BOTTOM_LAYER;0.000106152;0.000110506;-0.0161294
736.698;562.514;TOP_LAYER;LAYER_1;0.000128632;0.000128753;-0.000923502
736.698;562.514;LAYER_1;LAYER_2;0.000128753;0.000129418;-0.000923502
736.698;562.514;LAYER_2;BOTTOM_LAYER;0.000129418;0.000129305;0.000870407
733.914;899.944;TOP_LAYER;LAYER_1;48;48;-5.00001e-05
733.914;899.944;LAYER_1;LAYER_2;48;48;-5.00001e-05
733.914;899.944;LAYER_2;BOTTOM_LAYER;48;48;-3.56494e-11
765.157;287.678;TOP_LAYER;LAYER_1;0;0;-0
765.157;287.678;LAYER_1;LAYER_2;0;0;-0
765.157;287.678;LAYER_2;BOTTOM_LAYER;0;0;-0
765.157;2391.93;TOP_LAYER;LAYER_1;35.9965;35.9965;-0
765.157;2391.93;LAYER_1;LAYER_2;35.9965;35.9965;7.02556e-11
765.157;2391.93;LAYER_2;BOTTOM_LAYER;35.9965;35.9965;1.28919e-10
776.068;464.089;TOP_LAYER;LAYER_1;0.000130473;0.000130665;-0.00146732
776.068;464.089;LAYER_1;LAYER_2;0.000130665;0.000131722;-0.00146732
776.068;464.089;LAYER_2;BOTTOM_LAYER;0.000131722;0.000131837;-0.000881747
776.068;523.144;TOP_LAYER;LAYER_1;0.000129669;0.00012983;-0.00122951
776.068;523.144;LAYER_1;LAYER_2;0.00012983;0.000130716;-0.00122951
776.068;523.144;LAYER_2;BOTTOM_LAYER;0.000130716;0.000130732;-0.000122383
795.753;739.68;TOP_LAYER;LAYER_1;0.000110774;0.000111614;-0.00642492
795.753;739.68;LAYER_1;LAYER_2;0.000111614;0.000116242;-0.00642492
795.753;739.68;LAYER_2;BOTTOM_LAYER;0.000116242;0.000117095;-0.00651591
795.753;779.05;TOP_LAYER;LAYER_1;0.000108874;0.000109973;-0.00840361
795.753;779.05;LAYER_1;LAYER_2;0.000109973;0.000116027;-0.00840361
795.753;779.05;LAYER_2;BOTTOM_LAYER;0.000116027;0.000116884;-0.00655148
795.753;818.42;TOP_LAYER;LAYER_1;0.000108821;0.000109929;-0.00846531
795.753;818.42;LAYER_1;LAYER_2;0.000109929;0.000116027;-0.00846531
795.753;818.42;LAYER_2;BOTTOM_LAYER;0.000116027;0.000118079;-0.0156872
795.753;1271.18;TOP_LAYER;LAYER_1;0.000184911;0.000184606;0.0023279
795.753;1271.18;LAYER_1;LAYER_2;0.000184606;0.000182929;0.0023279
795.753;1271.18;LAYER_2;BOTTOM_LAYER;0.000182929;0.000182608;0.00245175
795.753;1310.55;TOP_LAYER;LAYER_1;0.000186282;0.000186172;0.000842498
795.753;1310.55;LAYER_1;LAYER_2;0.000186172;0.000185565;0.000842498
795.753;1310.55;LAYER_2;BOTTOM_LAYER;0.000185565;0.000185452;0.00086557
795.753;1448.34;TOP_LAYER;LAYER_1;0.000191877;0.000192006;-0.00098656
795.753;1448.34;LAYER_1;LAYER_2;0.000192006;0.000192716;-0.00098656
795.753;1448.34;LAYER_2;BOTTOM_LAYER;0.000192716;0.000192823;-0.000815262
812.654;958.999;TOP_LAYER;LAYER_1;11.9994;11.9994;0.000164014
812.654;958.999;LAYER_1;LAYER_2;11.9994;11.9994;0.000164014
812.654;958.999;LAYER_2;BOTTOM_LAYER;11.9994;11.9994;-2.6737e-11
835.123;464.089;TOP_LAYER;LAYER_1;0.000130597;0.000130838;-0.00184136
835.123;464.089;LAYER_1;LAYER_2;0.000130838;0.000132164;-0.00184136
835.123;464.089;LAYER_2;BOTTOM_LAYER;0.000132164;0.000132289;-0.000955423
835.123;523.144;TOP_LAYER;LAYER_1;0.000129796;0.000130024;-0.00174075
835.123;523.144;LAYER_1;LAYER_2;0.000130024;0.000131277;-0.00174075
835.123;523.144;LAYER_2;BOTTOM_LAYER;0.000131277;0.000131285;-5.58457e-05
835.123;660.94;TOP_LAYER;LAYER_1;0.000120446;0.000120548;-0.000774835
835.123;660.94;LAYER_1;LAYER_2;0.000120548;0.000121106;-0.000774835
835.123;660.94;LAYER_2;BOTTOM_LAYER;0.000121106;0.000122095;-0.00755598
835.123;700.31;TOP_LAYER;LAYER_1;0.000115234;0.000115765;-0.00406324
835.123;700.31;LAYER_1;LAYER_2;0.000115765;0.000118692;-0.00406324
835.123;700.31;LAYER_2;BOTTOM_LAYER;0.000118692;0.000119574;-0.00674098
835.123;739.68;TOP_LAYER;LAYER_1;0.000110774;0.000111614;-0.00642492
835.123;739.68;LAYER_1;LAYER_2;0.000111614;0.000116242;-0.00642492
835.123;739.68;LAYER_2;BOTTOM_LAYER;0.000116242;0.000117095;-0.00651591
835.123;779.05;TOP_LAYER;LAYER_1;0.000108874;0.000109973;-0.00840361
835.123;779.05;LAYER_1;LAYER_2;0.000109973;0.000116027;-0.00840361
835.123;779.05;LAYER_2;BOTTOM_LAYER;0.000116027;0.000116884;-0.00655148
835.123;818.42;TOP_LAYER;LAYER_1;0.000108821;0.000110036;-0.00928333
835.123;818.42;LAYER_1;LAYER_2;0.000110036;0.000116723;-0.00928333
835.123;818.42;LAYER_2;BOTTOM_LAYER;0.000116723;0.000118079;-0.010366
835.123;1271.18;TOP_LAYER;LAYER_1;0.000184911;0.000184606;0.0023279
835.123;1271.18;LAYER_1;LAYER_2;0.000184606;0.000182929;0.0023279
835.123;1271.18;LAYER_2;BOTTOM_LAYER;0.000182929;0.000182608;0.00245175
835.123;1310.55;TOP_LAYER;LAYER_1;0.000186282;0.000186172;0.000842498
835.123;1310.55;LAYER_1;LAYER_2;0.000186172;0.000185565;0.000842498
835.123;1310.55;LAYER_2;BOTTOM_LAYER;0.000185565;0.000185452;0.00086557
835.123;1448.34;TOP_LAYER;LAYER_1;0.00019098;0.000191247;-0.00204032
835.123;1448.34;LAYER_1;LAYER_2;0.000191247;0.000192716;-0.00204032
835.123;1448.34;LAYER_2;BOTTOM_LAYER;0.000192716;0.000192823;-0.000815262
835.123;1487.71;TOP_LAYER;LAYER_1;0.000193292;0.000193624;-0.00253237
835.123;1487.71;LAYER_1;LAYER_2;0.000193624;0.000195448;-0.00253237
835.123;1487.71;LAYER_2;BOTTOM_LAYER;0.000195448;0.000195633;-0.00141052
874.493;1271.18;TOP_LAYER;LAYER_1;0.000185078;0.000184669;0.00312344
874.493;1271.18;LAYER_1;LAYER_2;0.000184669;0.000182419;0.00312344
874.493;1271.18;LAYER_2;BOTTOM_LAYER;0.000182419;0.000181932;0.00372512
